"Ward","category","n","disciplined","sustained","open","unknown","sd_plus"
17,"Verbal Abuse",28,0,0,0,3,0
18,"Alcohol Abuse",1,1,0,0,0,1
18,"Arrest/Lock-up Procedures",129,1,2,0,5,0.0241935483870968
18,"Conduct Unbecoming (Off-duty)",14,0,1,0,6,0.125
18,"First Amendment and Illegal Arrest",166,2,1,0,15,0.0198675496688742
18,"Operation/Personnel Violations",168,1,0,2,19,0.00680272108843537
18,"Search-Related",28,0,0,0,3,0
18,"Supervisory Responsibilities",6,0,0,0,1,0
18,"Traffic",28,2,0,1,0,0.0740740740740741
18,"Verbal Abuse",7,0,0,0,1,0
19,"Alcohol Abuse",3,1,1,0,0,0.666666666666667
19,"Arrest/Lock-up Procedures",67,2,1,0,2,0.0461538461538462
19,"Conduct Unbecoming (Off-duty)",17,2,0,1,2,0.142857142857143
19,"Criminal Misconduct",3,0,0,0,0,0
19,"First Amendment and Illegal Arrest",98,1,0,1,8,0.0112359550561798
19,"Operation/Personnel Violations",165,15,3,2,6,0.114649681528662
19,"Search-Related",33,0,1,0,5,0.0357142857142857
19,"Supervisory Responsibilities",9,0,0,0,0,0
19,"Traffic",12,0,0,0,0,0
19,"Verbal Abuse",12,0,0,0,1,0
20,"Alcohol Abuse",1,1,0,0,0,1
20,"Arrest/Lock-up Procedures",290,1,3,1,9,0.0142857142857143
20,"Bribery / Official Corruption",5,0,0,0,0,0
20,"Conduct Unbecoming (Off-duty)",20,5,1,0,2,0.333333333333333
20,"Criminal Misconduct",2,0,0,0,0,0
20,"Drug/Substance Abuse",1,0,0,0,0,0
20,"First Amendment and Illegal Arrest",602,0,0,2,32,0
20,"Operation/Personnel Violations",638,49,14,2,34,0.104651162790698
20,"Search-Related",123,5,1,0,13,0.0545454545454545
20,"Supervisory Responsibilities",13,0,1,0,0,0.0769230769230769
20,"Traffic",40,0,0,0,2,0
20,"Verbal Abuse",27,0,0,0,1,0
